lon	lat	type	loctype	address	north	south	east	west	postal_code	country	administrative_area_level_2	administrative_area_level_1	locality	street	streetNo	point_of_interest	query
-1.479726	53.55263	locality	approximate	barnsley, south yorkshire, uk	53.6013373	53.5271566	-1.3683433	-1.5282373	NA	united kingdom	south yorkshire	england	barnsley	NA	NA	NA	Barnsley+,
-70.9756186	43.304526	locality	approximate	rochester, nh, usa	43.3785062	43.2257819	-70.8963051	-71.0727078	NA	united states	strafford county	new hampshire	rochester	NA	NA	NA	Rochester,NH
-75.6966001	39.7876112	locality	approximate	hockessin, de, usa	39.8136779	39.7614839	-75.6348919	-75.7250059	NA	united states	new castle county	delaware	hockessin	NA	NA	NA	Hockessin,DE
-75.6903492	35.2194549	locality	approximate	hatteras, nc, usa	35.2331605	35.2048876	-75.6676107	-75.7065141	NA	united states	dare county	north carolina	hatteras	NA	NA	NA	Hatteras,NC
-77.4291298	39.0066993	locality	approximate	sterling, va, usa	39.025042	38.9827089	-77.3715121	-77.4352299	NA	united states	loudoun county	virginia	sterling	NA	NA	NA	Sterling,VA
73.47	22.5	locality	approximate	halol, gujarat, india	22.5582562	22.4938391	73.4909435	73.4343123	NA	india	panchmahal	gujarat	halol	NA	NA	NA	Halol+,
-80.0943113	43.9199788	locality	approximate	orangeville, on, canada	43.9349519	43.889315	-80.0613258	-80.1459319	NA	canada	dufferin county	ontario	orangeville	NA	NA	NA	Orangeville+,ON
-76.8627367	42.9047884	locality	approximate	waterloo, ny 13165, usa	42.9178379	42.892523	-76.8417999	-76.8769361	13165	united states	seneca county	new york	waterloo	NA	NA	NA	Waterloo,NY
-89.5889864	40.6936488	locality	approximate	peoria, il, usa	40.844136	40.651938	-89.5487223	-89.698281	NA	united states	peoria county	illinois	peoria	NA	NA	NA	Peoria,IL
error	error	NA	NA	NA	error	error	error	error	error	error	error	error	error	error	error	error	error
-2.2426305	53.4807593	locality	approximate	manchester, uk	53.5445879	53.399903	-2.1470875	-2.3000969	NA	united kingdom	greater manchester	england	manchester	NA	NA	NA	Manchester+,
-81.0228331	29.2108147	locality	approximate	daytona beach, fl, usa	29.2898916	29.127476	-80.9829099	-81.21031	NA	united states	volusia county	florida	daytona beach	NA	NA	NA	Daytona+Beach,FL
-70.8736698	43.1978624	locality	approximate	dover, nh, usa	43.254982	43.117682	-70.819115	-70.961606	NA	united states	strafford county	new hampshire	dover	NA	NA	NA	Dover,NH
-90.5487012	30.4290818	locality	approximate	springfield, la, usa	30.441683	30.4143169	-90.5216269	-90.5561368	NA	united states	livingston parish	louisiana	springfield	NA	NA	NA	Springfield,LA
-117.1993469	34.9344769	locality	approximate	hinkley, ca 92347, usa	34.9377831	34.9289453	-117.1966069	-117.2022659	92347	united states	san bernardino county	california	hinkley	NA	NA	NA	Hinkley,CA
-118.4275776	33.9727898	neighborhood	approximate	playa vista, los angeles, ca 90094, usa	33.9820427	33.9635359	-118.4115702	-118.443585	90094	united states	los angeles county	california	los angeles	NA	NA	NA	Play+Vista,CA
-87.657584	44.0886059	locality	approximate	manitowoc, wi, usa	44.1389829	44.048812	-87.6200319	-87.761512	NA	united states	manitowoc county	wisconsin	manitowoc	NA	NA	NA	Manitowoc,WI
-80.2714505	40.6872885	locality	approximate	monaca, pa, usa	40.696166	40.6703661	-80.2544829	-80.297984	NA	united states	beaver county	pennsylvania	monaca	NA	NA	NA	Monaca,PA
-117.8531119	33.7877944	locality	approximate	orange, ca, usa	33.847415	33.7736169	-117.7361179	-117.904336	NA	united states	orange county	california	orange	NA	NA	NA	Orange,CA
-77.4302414	34.7540524	locality	approximate	jacksonville, nc, usa	34.815196	34.6383957	-77.307847	-77.4799009	NA	united states	onslow county	north carolina	jacksonville	NA	NA	NA	Jacksonville,NC
