lon	lat	type	loctype	address	north	south	east	west	postal_code	country	administrative_area_level_2	administrative_area_level_1	locality	street	streetNo	point_of_interest	query
-81.6051221	41.012833	locality	approximate	barberton, oh, usa	41.0415549	40.9759181	-81.563508	-81.6506469	NA	united states	summit county	ohio	barberton	NA	NA	NA	Barberton,OH
-112.896004	36.948189	locality	approximate	cane beds, az 86022, usa	36.9571057	36.9392712	-112.8799966	-112.9120114	86022	united states	mohave county	arizona	cane beds	NA	NA	NA	Cane+Beds,AZ
-94.0154541	30.1316001	locality	approximate	vidor, tx, usa	30.186525	30.0897111	-93.9082981	-94.039604	NA	united states	orange county	texas	vidor	NA	NA	NA	Vidor,TX
-92.7509042	44.0295675	locality	approximate	kasson, mn, usa	44.0512248	44.0146418	-92.728056	-92.7683949	NA	united states	dodge county	minnesota	kasson	NA	NA	NA	Kasson,MN
-81.440667	41.240056	locality	approximate	hudson, oh, usa	41.2770528	41.2028551	-81.391831	-81.4896358	NA	united states	summit county	ohio	hudson	NA	NA	NA	Hudson,OH
-78.8969785	42.652282	locality	approximate	eden, ny 14057, usa	42.673482	42.629365	-78.8712971	-78.9375708	14057	united states	erie county	new york	eden	NA	NA	NA	Eden,NY
-86.0341463	34.6723069	locality	approximate	scottsboro, al, usa	34.719222	34.5677272	-85.956342	-86.1356959	NA	united states	jackson county	alabama	scottsboro	NA	NA	NA	Scottsboro,AL
-117.0757252	46.9101688	locality	approximate	palouse, wa, usa	46.9175959	46.902504	-117.0608509	-117.0906991	NA	united states	whitman county	washington	palouse	NA	NA	NA	Palouse,WA
-117.1410073	47.0079487	locality	approximate	garfield, wa 99130, usa	47.0186319	47.000335	-117.1317251	-117.152725	99130	united states	whitman county	washington	garfield	NA	NA	NA	Garfield,WA
-94.729097	31.3382406	locality	approximate	lufkin, tx, usa	31.379695	31.2647641	-94.6782559	-94.7750371	NA	united states	angelina county	texas	lufkin	NA	NA	NA	Lufkin,TX
-115.1398296	36.1699412	locality	approximate	las vegas, nv, usa	36.3	35.95	-114.95	-115.4	NA	united states	clark county	nevada	las vegas	NA	NA	NA	Las+Vegas,
-122.5797054	38.5787965	locality	approximate	calistoga, ca 94515, usa	38.598067	38.56792	-122.554836	-122.6040239	94515	united states	napa county	california	calistoga	NA	NA	NA	Calistoga,CA
