lon	lat	type	loctype	address	north	south	east	west	postal_code	country	administrative_area_level_2	administrative_area_level_1	locality	street	streetNo	point_of_interest	query
-86.4466599	36.3883809	locality	approximate	gallatin, tn, usa	36.4336798	36.3306489	-86.383673	-86.55491	NA	united states	sumner county	tennessee	gallatin	NA	NA	NA	Gallatin TN
-68.8517011	45.2853307	locality	approximate	medford, me, usa	45.3296519	45.2207509	-68.776067	-68.9388428	NA	united states	piscataquis county	maine	medford	NA	NA	NA	Medford ME
-88.6437138	42.6330703	locality	approximate	delavan, wi, usa	42.650934	42.604005	-88.582231	-88.678641	NA	united states	walworth county	wisconsin	delavan	NA	NA	NA	Delavan WI
-87.7008193	30.2460361	locality	approximate	gulf shores, al, usa	30.3265501	30.2302301	-87.623193	-87.8017519	NA	united states	baldwin county	alabama	gulf shores	NA	NA	NA	Gulf Shores AL
-79.0203732	43.8508553	locality	approximate	ajax, on, canada	43.922496	43.8157835	-78.9706802	-79.087333	NA	canada	durham regional municipality	ontario	ajax	NA	NA	NA	Ajax  ON
-73.4820687	40.7442664	locality	approximate	bethpage, ny, usa	40.76984	40.7314991	-73.4685921	-73.50601	NA	united states	nassau county	new york	bethpage	NA	NA	NA	Bethpage NY
-78.7278101	43.0870018	locality	approximate	pendleton, ny 14094, usa	43.0951501	43.0788524	-78.7118027	-78.7438175	14094	united states	niagara county	new york	pendleton	NA	NA	NA	Pendleton NY
-123.1007066	47.2150945	locality	approximate	shelton, wa 98584, usa	47.2466779	47.1937811	-123.0634279	-123.16113	98584	united states	mason county	washington	shelton	NA	NA	NA	Shelton WA
-79.0086464	33.5929472	locality	approximate	garden city, sc, usa	33.620998	33.5720819	-78.9829049	-79.0304929	NA	united states	horry county	south carolina	garden city	NA	NA	NA	Garden City SC
-75.877419	41.1695269	locality	approximate	mountain top, pa, usa	41.188882	41.0738658	-75.815223	-76.024057	NA	united states	luzerne county	pennsylvania	mountain top	NA	NA	NA	Mountain Top PA
-75.5512901	42.8892358	locality	approximate	bouckville, ny 13310, usa	42.8974104	42.8810601	-75.5352827	-75.5672975	13310	united states	madison county	new york	bouckville	NA	NA	NA	Bouckville NY
-82.7912134	27.8397466	locality	approximate	seminole, fl, usa	27.875832	27.809372	-82.7538411	-82.817027	NA	united states	pinellas county	florida	seminole	NA	NA	NA	Seminole FL
-93.0724235	42.4055374	locality	approximate	steamboat rock, ia, usa	42.4120659	42.403682	-93.051633	-93.0785619	NA	united states	hardin county	iowa	steamboat rock	NA	NA	NA	Steamboat Rock IA
-89.5342315	30.8401863	locality	approximate	poplarville, ms 39470, usa	30.8598481	30.8184639	-89.5120489	-89.551774	39470	united states	pearl river county	mississippi	poplarville	NA	NA	NA	Poplarville MS
-72.143983	43.640644	locality	approximate	enfield, nh, usa	43.6585911	43.528939	-72.0201521	-72.208145	NA	united states	grafton county	new hampshire	enfield	NA	NA	NA	Enfield NH
-120.5478474	46.9965144	locality	approximate	ellensburg, wa, usa	47.0292611	46.9669261	-120.5095679	-120.5949801	NA	united states	kittitas county	washington	ellensburg	NA	NA	NA	Ellensburg WA
-75.5108445	35.3521855	locality	approximate	avon, nc, usa	35.371411	35.321875	-75.4944971	-75.5171708	NA	united states	dare county	north carolina	avon	NA	NA	NA	Avon NC
-84.8593521	29.8079876	natural_feature	approximate	alligator point, florida 32328, usa	29.8176689	29.7983054	-84.8433447	-84.8753595	32328	united states	franklin county	florida	NA	NA	NA	NA	Alligator Point FL
-81.804838	36.4745636	locality	approximate	mountain city, tn 37683, usa	36.492433	36.4330229	-81.79012	-81.826267	37683	united states	johnson county	tennessee	mountain city	NA	NA	NA	Mountain City TN
-88.8728369	34.4017697	locality	approximate	blue springs, ms 38828, usa	34.4084969	34.3939059	-88.8630869	-88.8836159	38828	united states	union county	mississippi	blue springs	NA	NA	NA	Blue Springs MS
-83.1779746	41.1144992	locality	approximate	tiffin, oh 44883, usa	41.1450508	41.0930861	-83.1496021	-83.225319	44883	united states	seneca county	ohio	tiffin	NA	NA	NA	Tiffin OH
-104.9599695	46.6758402	locality	approximate	mildred, mt 59341, usa	46.6834954	46.6681839	-104.9439621	-104.9759769	59341	united states	prairie county	montana	mildred	NA	NA	NA	Mildred MT
-74.478441	39.351907	bus_station	approximate	ventnor plaza, ventnor city, nj 08406, usa	39.3532559802915	39.3505580197085	-74.4770920197085	-74.4797899802915	08406	united states	atlantic county	new jersey	ventnor city	NA	NA	NA	Ventnor NJ
-89.343727	43.2477685	locality	approximate	deforest, wi, usa	43.2672219	43.1860181	-89.3100699	-89.3765044	NA	united states	dane county	wisconsin	deforest	NA	NA	NA	Deforest WI
-88.9117742	43.0813888	locality	approximate	lake mills, wi, usa	43.10278	43.0587721	-88.875787	-88.935059	NA	united states	jefferson county	wisconsin	lake mills	NA	NA	NA	Lake Mills WI
-91.7346056	39.6536529	locality	approximate	monroe city, mo 63456, usa	39.66473	39.6429148	-91.7066761	-91.763312	63456	united states	monroe county	missouri	monroe city	NA	NA	NA	Monroe City MO
-75.0640602	39.8023363	neighborhood	approximate	blackwood, gloucester township, nj 08012, usa	39.8110991	39.7870439	-75.050023	-75.075611	08012	united states	camden county	new jersey	gloucester township	NA	NA	NA	Blackwood NJ
-80.747576	46.674286	locality	approximate	skead, on p0m, canada	46.6819415	46.6666295	-80.7315686	-80.7635834	NA	canada	greater sudbury division	ontario	skead	NA	NA	NA	Skead  ON
-72.7456519	41.621488	locality	approximate	berlin, ct, usa	41.652699	41.5541968	-72.711213	-72.8402441	NA	united states	hartford county	connecticut	berlin	NA	NA	NA	Berlin CT
-84.7999382	34.1650972	locality	approximate	cartersville, ga, usa	34.293579	34.082436	-84.7186224	-84.8656749	NA	united states	bartow county	georgia	cartersville	NA	NA	NA	Cartersville GA
